model name,accuracy,precision_weighted,recall_weighted,f1_weighted,log_loss,roc_auc_weighted
XGBoost with BinaryRelevance,0.9137186676424601,0.779778602970233,0.6185159644235095,0.6836708346419339,0.2989905706365807,0.9688574630837474
XGBoost with ClassifierChain,0.914940693415921,0.7692615293888219,0.6246592575797502,0.6836326977309265,0.31499735283992714,0.9661263002766816
XGBoost with LabelPowerset,0.9150785639429623,0.7869448901663398,0.5835920221643304,0.6626742258052829,0.2966489820838212,0.9691644829162911
Tuned XGBoost with BinaryRelevance,0.9049263366235187,0.7053650668480644,0.6918245141310766,0.6943846925898665,0.3074179519083726,0.9665647023928452
