model name,accuracy,precision_weighted,recall_weighted,f1_weighted,log_loss,roc_auc_weighted
Naive Bayes with BinaryRelevance,0.8792575112589862,0.5584860292985996,0.6487065882091162,0.5775827405504789,0.776312321954545,0.9311846239368421
Naive Bayes with ClassifierChain,0.8789065714373712,0.5569617375977268,0.6785095550864775,0.5827498894185349,0.6707702246970506,0.9310356259080006
Naive Bayes with LabelPowerset,0.8146652492587615,0.6002114305714759,0.5348182708692603,0.5521932555886865,0.8489405860526501,0.9376922525525118
