model name,accuracy,precision_weighted,recall_weighted,f1_weighted,log_loss,roc_auc_weighted
Random Forest with BinaryRelevance,0.8708286690620476,0.5657337579830963,0.8136649173853228,0.657562669704356,0.32177075812238537,0.9667603838391443
Random Forest with ClassifierChain,0.9165073976669499,0.8251588622870554,0.558172302940118,0.6515636696808487,0.28341339768623114,0.9644084241235932
Random Forest with LabelPowerset,0.8852548642618979,0.6410233146264517,0.6108212173075168,0.6223524765445669,0.3151507688353431,0.9490953429193659
