model name,accuracy,precision_weighted,recall_weighted,f1_weighted,log_loss,roc_auc_weighted
Adaboost with BinaryRelevance,0.9112119533686073,0.7656058027422479,0.5973995546719847,0.6698307157484304,0.3879253456169421,0.9637085114888546
Adaboost with ClassifierChain,0.9128789215957569,0.7393216090529716,0.6312413140696826,0.6753256059617212,0.38433171570492425,0.9611908807338544
Adaboost with LabelPowerset,0.9076336067327897,0.6474527535748544,0.5598866148120504,0.5845426243404351,0.3506818921243169,0.7256134312506652
