model name,accuracy,precision_weighted,recall_weighted,f1_weighted,log_loss,roc_auc_weighted
Logistic Regression,0.7809752386493111,0.3783522717144704,0.8680965739698466,0.5162346133834245,0.35647822023576314,0.9545577857685622
Naive Bayes,0.5121886552609145,0.8236595012928734,0.7121363958763302,0.7522841258335868,9.401659434347696,0.812123359107106
Random Forest,0.8965400760501859,0.9361082118078153,0.89057737312562,0.9065263550086694,5.0106829066426455,0.9821984554492638
LightGBM,0.9451384465973408,0.9231718737495725,0.9212333270892673,0.9200355220633691,4.936536852983814,0.9897859898251499
Adaboost,0.6923286792115877,0.8260507422340965,0.8714545468634365,0.8394015087474044,5.452482003483427,0.9469298100574344
XGboost,0.9644422703403212,0.9358460621585287,0.9287431507086813,0.9310644605293771,4.890664023825169,0.9898848817575333
